translationId,productId,locale,title,descriptionHtml,currentIngredients,proposedIngredients,subtitle,subtitleStatus,action,reason
cmr0q3gtz0035aixk6dd6s9oy,cmr0q3gtz0034aixkksn8v7so,ru,Спас - традиционный армянский кисломолочный суп,"<p>Мацун, дзавар, кинза, сухарики собственного производства, жареный лук. Подаётся горячим.<br/>300г</p>",,"Мацун, дзавар, кинза, сухарики собственного производства, жареный лук. Подаётся горячим.",300г,exists,MIGRATE,first line from descriptionHtml
cmr0q3fu40032aixknhky1s8s,cmr0q3fu40031aixkczor1rzk,ru,Суп с морскими деликатесами,"<p>Сочетание кислого, острого и пряного вкусов с добавлением грибов, черри, креветок, кальмаров и мидий. Подаётся с рисом, маринованным имбирём.<br/>350г</p>",,"Сочетание кислого, острого и пряного вкусов с добавлением грибов, черри, креветок, кальмаров и мидий. Подаётся с рисом, маринованным имбирём.",350г,exists,MIGRATE,first line from descriptionHtml
cmr0q3hti0038aixkzutmkkac,cmr0q3hti0037aixkfvyez61z,ru,Суп-лапша,<p>Подаётся с чёрным хлебом.<br/>300г</p>,,Подаётся с чёрным хлебом.,300г,exists,MIGRATE,first line from descriptionHtml
cmr0q4x5u0078aixky7hhsgzl,cmr0q4x5u0077aixkrip67yx8,ru,Супик лапша,"<p>Куриное мясо, лапша, морковь, картофель.<br/>250г</p>",,"Куриное мясо, лапша, морковь, картофель.",250г,exists,MIGRATE,first line from descriptionHtml
cmr0q2vf5001haixk8wlkgeg2,cmr0q2vf5001gaixklfndifa6,ru,Сырная тарелка «Армянская»,"<p>Сыры лори, чанах, домашний выдержанный сыр, чечил<br/>230 г</p>",,"Сыры лори, чанах, домашний выдержанный сыр, чечил",230 г,exists,MIGRATE,first line from descriptionHtml
cmr0q2wh7001kaixkpw1sx4tz,cmr0q2wh6001jaixk9431qlm3,ru,Сырная тарелка «Европейская»,"<p>Моцарелла, чеддер, дор-блю, пармезан<br/>250 г</p>",,"Моцарелла, чеддер, дор-блю, пармезан",250 г,exists,MIGRATE,first line from descriptionHtml
cmr0q37ec002eaixkkchc28ua,cmr0q37ec002daixknkpt1qz7,ru,Сырные палочки,<p>Сырные палочки в панировке<br/>180 г</p>,,Сырные палочки в панировке,180 г,exists,MIGRATE,first line from descriptionHtml
cmr0q5b98008baixkrfmcnq7g,cmr0q5b98008aaixk5n7af9ih,ru,Сырный соус,<p>Соус сырный<br/>50 г</p>,,Соус сырный,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q318s001waixk27nku8y6,cmr0q318r001vaixkclhva7kl,ru,Табуле,"<p>Булгур, помидоры, зелень, микс салат, фирменная заправка, красный лук, лимон, оливковое масло.<br/>180г</p>",,"Булгур, помидоры, зелень, микс салат, фирменная заправка, красный лук, лимон, оливковое масло.",180г,exists,MIGRATE,first line from descriptionHtml
cmr0q3nbj003naixkbewfabxv,cmr0q3nbj003maixkj8ykoe4c,ru,Тарелка Тимура,"<p>Запеченные колбаски собственного приготовления из свинины/говядины, картофель, шампиньоны<br/>300 г</p>",,"Запеченные колбаски собственного приготовления из свинины/говядины, картофель, шампиньоны",300 г,exists,MIGRATE,first line from descriptionHtml
cmr0q45990052aixkorp3wj0v,cmr0q45980051aixkhbvbpd0c,ru,Телятина (вырезка),<p>Подаётся с фирменным соусом и луком с зеленью.<br/>200/40/20г</p>,,Подаётся с фирменным соусом и луком с зеленью.,200/40/20г,exists,MIGRATE,first line from descriptionHtml
cmr0q36co002baixk8zte8ioz,cmr0q36co002aaixki58enehj,ru,Тигровые креветки в соусе унаги,"<p>Жареные тигровые креветки, соус унаги<br/>200 г</p>",,"Жареные тигровые креветки, соус унаги",200 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3l44003haixktkc8vgy2,cmr0q3l44003gaixkeasypcpr,ru,Толма,"<p>Традиционное армянское блюдо, представляющее собой мясную начинку из говядины, завёрнутую в виноградные листья. Подаётся с чесночным мацуном.<br/>200/40г</p>",,"Традиционное армянское блюдо, представляющее собой мясную начинку из говядины, завёрнутую в виноградные листья. Подаётся с чесночным мацуном.",200/40г,exists,MIGRATE,first line from descriptionHtml
cmr0q4p7h006naixkqqp7a72s,cmr0q4p7h006maixkpyfjo6qd,ru,Хачапури по-аджарски,"<p>Авторское тесто, сулугуни, моцарелла, яйцо.</p>",,"Авторское тесто, сулугуни, моцарелла, яйцо.",,missing,MIGRATE,first line from descriptionHtml
cmr0q4o4c006kaixk4pivbt9w,cmr0q4o4c006jaixklpxa0f37,ru,Хачапури по-аджарски с помидором,"<p>Авторское тесто, сулугуни, моцарелла, помидоры, яйцо.</p>",,"Авторское тесто, сулугуни, моцарелла, помидоры, яйцо.",,missing,MIGRATE,first line from descriptionHtml
cmr0q4q8r006qaixkp8htgfvd,cmr0q4q8r006paixkx24f9w6r,ru,Хачапури по-мегрельски,"<p>Авторское тесто, сулугуни, моцарелла.</p>",,"Авторское тесто, сулугуни, моцарелла.",,missing,MIGRATE,first line from descriptionHtml
cmr0q3ixe003baixkaffbbu4j,cmr0q3ixd003aaixkh0ih5rkt,ru,Хашлама из баранины,"<p>Баранина, бульон/овощи<br/>400 г</p>",,"Баранина, бульон/овощи",400 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3k2o003eaixkiyb42qnb,cmr0q3k2o003daixkvpv261iu,ru,Хашлама с говяжьим хвостом,<p>400 г</p>,,,400 г,exists,SKIP,standalone portion
cmr0q348r0025aixka6sf61cj,cmr0q348r0024aixkj8vgaors,ru,Хрустящие баклажаны,"<p>Хрустящие баклажаны, помидоры, фирменный соус, сыр творожный, кинза, грецкий орех.<br/>180г</p>",,"Хрустящие баклажаны, помидоры, фирменный соус, сыр творожный, кинза, грецкий орех.",180г,exists,MIGRATE,first line from descriptionHtml
cmr0q3m7u003kaixkd7gqtxan,cmr0q3m7u003jaixkxrls0hhi,ru,Хурджин,"<p>Запечённая телятина с шампиньонами, болгарским перцем, помидорами, нутом, луком и сливочным соусом. Подаётся в хрустящем армянском лаваше.<br/>350г</p>",,"Запечённая телятина с шампиньонами, болгарским перцем, помидорами, нутом, луком и сливочным соусом. Подаётся в хрустящем армянском лаваше.",350г,exists,MIGRATE,first line from descriptionHtml
